,DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_OIL_RATE (stb/d),BORE_GAS_VOL,BORE_GAS_RATE (MMscfd),BORE_WAT_VOL,BORE_WATER_RATE (stb/d),BORE_WI_VOL,BORE_WI_RATE (stb/d),GOR (scf/stb),WC (%),Cum Oil (MMstb)
0,2014-04-07,15/9-F-1 C,0.0,0.0,0.0,0.0,0.0,0.0,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1,2014-04-08,15/9-F-1 C,0.0,,,,0.0,1.0030591666666666,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2,2014-04-09,15/9-F-1 C,0.0,,,,0.0,0.9790077083333333,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
3,2014-04-10,15/9-F-1 C,0.0,,,,0.0,0.5457591666666667,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
4,2014-04-11,15/9-F-1 C,0.0,310.37614,96.87589,277.27826,0.0,1.215986875,%,33.09788,10.47992,33.07195,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
5,2014-04-12,15/9-F-1 C,0.0,303.50078,96.92339,281.44744,0.0,3.0870154166666666,%,22.05334,8.70429,22.05334,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6,2014-04-13,15/9-F-1 C,0.0,303.53481,96.95885,276.032,0.0,1.9623652083333334,%,27.50281,9.42315,16.16326,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
7,2014-04-14,15/9-F-1 C,0.0,303.78228,96.96873,282.78676,0.0,0.0,%,20.99552,8.13137,20.73712,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
8,2014-04-15,15/9-F-1 C,0.0,303.85821,97.02136,289.94067,0.0,31.141855625,%,13.91754,8.49833,12.18153,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
9,2014-04-16,15/9-F-1 C,0.0,303.79187,97.06569,299.67193,0.0,0.0,%,4.11994,8.82124,1.4902,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
10,2014-04-17,15/9-F-1 C,0.0,304.33518,96.91946,282.901,0.0,41.23599395833333,%,21.43418,8.85429,18.79484,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
11,2014-04-18,15/9-F-1 C,0.0,304.84859,96.72034,273.70073,0.0,0.0,%,31.14786,9.63954,28.50258,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
12,2014-04-19,15/9-F-1 C,0.0,305.37149,96.61563,259.61993,0.0,0.43686166666666665,%,45.75156,9.63919,43.1571,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
13,2014-04-20,15/9-F-1 C,0.0,313.87058,96.55953,282.81436,0.0,0.4542847916666667,%,31.05622,9.61976,28.48402,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
